song,token_length,loss,category
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,Original,5.54742759,Original
1220765_les-antique_short30_preview_cut14s,Original,6.14604999,Original
433499_fashionable_short30_preview_cut14s,Original,5.71863026,Original
1232514_humouresque-by-dvorak_short30_preview_cut14s,Original,5.72643388,Original
1253054_revolution_short30_preview_cut14s,Original,5.48426153,Original
1256122_one-last-time_short30_preview_cut14s,Original,6.17493096,Original
438704_nice-walk_short30_preview_cut14s,Original,5.35908213,Original
510410_chopin---raindrops-(solo-piano-arrangement)_short30_preview_cut14s,Original,4.35903817,Original
1228967_snowbound_short30_preview_cut14s,Original,5.49133544,Original
1236170_with-the-greatest-will_short30_preview_cut14s,Original,6.60911403,Original
1242936_the-drive-for-resolution_short30_preview_cut14s,Original,6.04222728,Original
1228481_piano-andante_short30_preview_cut14s,Original,5.41451609,Original
1250854_hugs-are-the-best-medicine_short30_preview_cut14s,Original,4.26840153,Original
1251571_a-long-night_short30_preview_cut14s,Original,4.49158146,Original
1256250_shouting-it-out_short30_preview_cut14s,Original,6.50821496,Original
1227715_wistful-longing_short30_preview_cut14s,Original,6.12173458,Original
1234809_just-a-last-hope_short30_preview_cut14s,Original,3.22300462,Original
1219263_connected-through-hope_short30_preview_cut14s,Original,6.09183768,Original
1219906_spreading-your-wings_short30_preview_cut14s,Original,6.25200621,Original
1234504_put-it-there_short30_preview_cut14s,Original,5.80543044,Original
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk5,5.961832,Shuffled
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk10,5.878646,Shuffled
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk50,5.728914,Shuffled
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk100,5.634167,Shuffled
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk150,5.602874,Shuffled
1217199_mozart-rondo-alla-turca_short30_preview_cut14s,tk200,5.593937,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk5,6.341082,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk10,6.300554,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk50,6.218329,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk100,6.171083,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk150,6.184159,Shuffled
1219263_connected-through-hope_short30_preview_cut14s,tk200,6.176001,Shuffled
1219906_spreading-your-wings_short30_preview_cut14s,tk5,6.546219,Shuffled
1219906_spreading-your-wings_short30_preview_cut14s,tk10,6.464986,Shuffled
1219906_spreading-your-wings_short30_preview_cut14s,tk50,6.343898,Shuffled
1219906_spreading-your-wings_short30_preview_cut14s,tk100,6.310937,Shuffled
1219906_spreading-your-wings_short30_preview_cut14s,tk150,6.29741,Shuffled
